Country,Level,Branch,Department,Name,State,Issues,URL,Table No,Table Rows,Link Column,Party Column,Term Start Column,Term End Column,District,Dynamic Parse,Read columns right to left,Find Date,Parse Rowspan,Rep Link,Party Link,Notes,Alt Link
United States of America,Local,Executive,Mayoral,Mayor,Pittsburgh,,https://en.wikipedia.org/wiki/List_of_mayors_of_Pittsburgh,3,3,2,4,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Sacramento,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Sacramento,_California",3,3,2,0,3,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,San Diego,,https://en.wikipedia.org/wiki/Mayor_of_San_Diego,2,3,3,6,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,San Francisco,,https://en.wikipedia.org/wiki/Mayor_of_San_Francisco,2,3,3,7,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,San Jose,,https://en.wikipedia.org/wiki/Mayor_of_San_Jose,2,3,2,6,3,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Seattle,party is color coded,https://en.wikipedia.org/wiki/Mayor_of_Seattle,2,3,4,0,5,6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,St. Louis,,https://en.wikipedia.org/wiki/Mayor_of_St._Louis,10,3,3,8,4,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Non-Elected Official,Attorney General,Alaska,,https://en.wikipedia.org/wiki/Alaska_Attorney_General,2,3,1,0,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Territory,
United States of America,State,Executive,Non-Elected Official,Attorney General,Alaska,,https://en.wikipedia.org/wiki/Alaska_Attorney_General,3,3,1,0,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Territory,Executive,Non-Elected Official,Attorney General,District of Columbia,,https://en.wikipedia.org/wiki/Attorney_General_for_the_District_of_Columbia,5,3,1,0,2,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,City attorneys,
United States of America,Territory,Executive,Non-Elected Official,Attorney General,District of Columbia,,https://en.wikipedia.org/wiki/Attorney_General_for_the_District_of_Columbia,6,3,2,0,3,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Territory,Executive,Non-Elected Official,Attorney General,District of Columbia,,https://en.wikipedia.org/wiki/Attorney_General_for_the_District_of_Columbia,7,3,3,0,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Non-Elected Official,Attorney General,Maine,,https://en.wikipedia.org/wiki/Maine_Attorney_General,2,3,3,6,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Non-Elected Official,Secretary of State,New York,,https://en.wikipedia.org/wiki/Secretary_of_State_of_New_York,2,3,3,5,4,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Non-Elected Official,Secretary of State,Oklahoma,,https://en.wikipedia.org/wiki/Oklahoma_Secretary_of_State,7,3,3,4,5,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,State,Executive,Non-Elected Official,Attorney General,Tennessee,,https://en.wikipedia.org/wiki/Tennessee_Attorney_General,3,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Non-Elected Official,Secretary of State,Tennessee,,https://en.wikipedia.org/wiki/Tennessee_Secretary_of_State,2,3,2,0,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Non-Elected Official,Secretary of State,Texas,,https://en.wikipedia.org/wiki/List_of_secretaries_of_state_of_Texas,2,3,2,0,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
United States of America,State,Executive,Non-Elected Official,Attorney General,Wyoming,,https://en.wikipedia.org/wiki/List_of_Wyoming_attorneys_general,1,3,3,6,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Federal,Executive,POTUS,President,,,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States,1,4,2,5,3,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
